"Run","Run ID","metric","step","timestamp","value"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","0","1749293773080","'-0.01311127617239899"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","1","1749294031468","'-0.02475275698064382"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","2","1749294284789","'-0.09298216613788358"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","3","1749294536357","'-0.13617230132639044"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","4","1749294791419","'-0.14683944147197664"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","5","1749295053093","'-0.15770497932245658"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","6","1749295318289","'-0.1917167987924596"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","7","1749295574736","'-0.2016744966593136"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","8","1749295826759","'-0.21174436223163579"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","9","1749296079414","'-0.22181724832560923"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","10","1749296334344","'-0.24177437142439617"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","11","1749296586316","'-0.399492069383437"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","12","1749296836200","'-0.8385331182610831"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","13","1749297087893","'-0.9759375848944771"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","14","1749297334130","'-0.9945446291629563"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","15","1749297584255","'-0.9975960475988572"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","16","1749297839595","'-0.998882579961119"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","17","1749298086920","'-0.9991403613789035"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","18","1749298333502","'-0.9993955254676019"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","19","1749298588541","'-0.9996175410061134"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","20","1749298888395","'-0.9996374174270358"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","21","1749299200856","'-0.9998747548154752"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","22","1749299504676","'-0.9999049428399436"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","23","1749299801315","'-0.9999241825280331"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","24","1749300061776","'-0.9999409196699381"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","25","1749300316535","'-0.9999528569098285"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","26","1749300580453","'-0.9999629804828524"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","27","1749300839008","'-0.9999682872972071"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","28","1749301097615","'-0.9999739616836439"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","29","1749301355889","'-0.9999777301766987"
"resnet_sim_svdd_ae_v3.2.4","96fbbe07edbe453b84d67360c55179c1","train_simsiam_loss","30","1749301609574","'-0.9999817004645223"
